donor,cell_size,total_intensity,class
3,165.0,8578.0,quiescent
3,223.0,7657.0,quiescent
3,209.0,6630.0,quiescent
3,234.0,20119.0,quiescent
3,164.0,9941.0,quiescent
3,190.0,8860.0,quiescent
3,186.0,7115.0,quiescent
3,235.0,13235.0,quiescent
3,103.0,3576.0,quiescent
3,345.0,18728.0,quiescent
3,207.0,12953.0,quiescent
3,239.0,11960.0,quiescent
3,165.0,7385.0,quiescent
3,411.0,18800.0,quiescent
3,215.0,13363.0,quiescent
3,569.0,23595.0,quiescent
3,100.0,6049.0,quiescent
3,218.0,8563.0,quiescent
3,159.0,8823.0,quiescent
3,152.0,7592.0,quiescent
3,190.0,10096.0,quiescent
3,396.0,20680.0,quiescent
3,210.0,12671.0,quiescent
3,221.0,8632.0,quiescent
3,210.0,13040.0,quiescent
3,188.0,9955.0,quiescent
3,163.0,8267.0,quiescent
3,170.0,7985.0,quiescent
3,116.0,2584.0,quiescent
3,169.0,4337.0,quiescent
3,191.0,9115.0,quiescent
3,163.0,7377.0,quiescent
3,115.0,7620.0,quiescent
3,200.0,4665.0,quiescent
3,198.0,10676.0,quiescent
3,120.0,5183.0,quiescent
3,190.0,11959.0,quiescent
3,217.0,16168.0,quiescent
3,181.0,10118.0,quiescent
3,337.0,27777.0,quiescent
3,190.0,7938.0,quiescent
3,163.0,9526.0,quiescent
3,123.0,16521.0,quiescent
3,232.0,21017.0,quiescent
3,221.0,11063.0,quiescent
3,172.0,8846.0,quiescent
3,208.0,12068.0,quiescent
3,179.0,17196.0,quiescent
3,378.0,28393.0,quiescent
3,245.0,16795.0,quiescent
3,207.0,10552.0,quiescent
3,158.0,6432.0,quiescent
3,198.0,11598.0,quiescent
3,223.0,11103.0,quiescent
3,201.0,14866.0,quiescent
3,164.0,9485.0,quiescent
3,155.0,8807.0,quiescent
3,248.0,6596.0,quiescent
3,77.0,2700.0,quiescent
3,323.0,11497.0,quiescent
3,193.0,12164.0,quiescent
3,116.0,5686.0,quiescent
3,179.0,10197.0,quiescent
3,121.0,4507.0,quiescent
3,187.0,12802.0,quiescent
